,,,2020,,2016,,2012,,2008,
District,Incumbent,Party,Biden,Trump,Clinton,Trump,Obama,Romney,Obama,McCain
FL-21,Lois Frankel,(D),58.2,41.2,58.6,39.1,,,,
FL-22,[VACANT],(D),57.1,42.3,56.8,41.0,,,,
FL-23,Debbie Wasserman Schultz,(D),58.3,41.2,61.9,35.8,,,,
FL-24,Frederica Wilson,(D),75.4,24.0,82.9,15.4,,,,
FL-25,Mario Díaz-Balart,(R),38.2,61.2,47.9,49.7,,,,
FL-26,Carlos Giménez,(R),46.9,52.5,56.8,40.5,,,,
FL-27,Maria Elvira Salazar,(R),51.3,48.1,58.5,38.9,,,,
GA-01,Buddy Carter,(R),43.1,55.5,40.9,56.4,43.0,55.9,44.4,55.0
GA-02,Sanford Bishop,(D),55.7,43.4,55.0,43.3,58.6,40.8,57.9,41.6
GA-03,Drew Ferguson,(R),36.8,62.0,32.8,64.3,33.0,65.9,34.0,65.3
GA-04,Hank Johnson,(D),78.8,20.2,75.3,22.2,73.6,25.6,73.2,26.3
GA-05,Nikema Williams,(D),86.2,12.6,85.0,11.9,83.1,15.8,84.4,15.0
GA-06,Lucy McBath,(D),54.8,43.7,46.8,48.3,37.5,60.8,40.1,59.0
GA-07,Carolyn Bourdeaux,(D),52.4,46.1,44.8,51.1,38.3,60.2,39.1,60.1
GA-08,Austin Scott,(R),37.0,62.0,34.4,63.3,37.5,61.6,37.8,61.6
GA-09,Andrew Clyde,(R),22.4,76.4,19.3,77.8,20.5,78.1,24.3,74.7
GA-10,Jody Hice,(R),39.2,59.6,35.8,61.3,36.3,62.5,38.8,60.4
GA-11,Barry Loudermilk,(R),41.5,56.9,35.3,60.3,31.5,66.9,34.7,64.3
GA-12,Rick Allen,(R),43.0,55.8,40.7,56.9,43.6,55.4,43.9,55.6
GA-13,David Scott,(D),75.6,23.4,71.0,26.6,69.2,30.0,67.1,32.3
GA-14,Marjorie Taylor Greene,(R),25.3,73.4,22.1,75.0,25.3,73.2,27.8,71.0
HI-01,Ed Case,(D),63.8,34.5,63.1,30.5,69.7,29.0,70.3,28.3
HI-02,Kai Kahele,(D),63.6,34.0,61.4,29.6,71.4,26.7,73.4,24.9
IA-01,Ashley Hinson,(R),47.4,50.8,45.2,48.7,56.2,42.5,58.5,40.4
IA-02,Mariannette Miller-Meeks,(R),47.1,51.1,45.0,49.1,55.8,42.7,57.1,41.6
IA-03,Cindy Axne,(D),49.0,49.1,45.0,48.5,51.4,47.2,52.4,46.3
IA-04,Randy Feenstra,(R),35.7,62.7,33.5,60.9,45.3,53.4,48.5,50.2
ID-01,Russ Fulcher,(R),30.1,67.1,25.4,63.7,32.2,64.9,35.1,62.5
ID-02,Mike Simpson,(R),36.6,60.1,29.8,54.5,33.1,64.1,37.1,60.5
IL-01,Bobby Rush,(D),73.9,24.7,75.4,21.4,78.9,20.2,80.8,18.5
IL-02,Robin Kelly,(D),77.5,21.2,78.0,19.1,80.7,18.5,81.1,18.2
IL-03,Marie Newman,(D),55.5,42.9,55.2,39.9,55.9,42.6,58.3,40.4
IL-04,Chuy Garcia,(D),80.7,17.3,82.1,13.2,80.9,17.1,80.5,18.2
